Time,Temperature,Humidity,Pressure
2026-05-01 00:01:45,22.71,60.36,101447.99
2026-05-01 00:07:00,22.74,60.33,101450.61
2026-05-01 00:12:00,22.68,60.31,101445.40
2026-05-01 00:17:15,22.71,60.34,101445.30
2026-05-01 00:22:15,22.66,60.30,101441.79
2026-05-01 00:27:30,22.67,60.33,101437.46
2026-05-01 00:32:30,22.64,60.30,101433.56
2026-05-01 00:37:45,22.62,60.34,101431.64
2026-05-01 00:42:45,22.63,60.28,101426.20
2026-05-01 00:48:00,22.59,60.30,101426.58
2026-05-01 00:53:00,22.62,60.30,101425.30
2026-05-01 00:58:15,22.57,60.28,101424.58
2026-05-01 01:03:15,22.61,60.30,101424.60
2026-05-01 01:08:30,22.56,60.25,101426.44
2026-05-01 01:13:30,22.57,60.28,101427.04
2026-05-01 01:18:45,22.55,60.22,101422.87
2026-05-01 01:23:45,22.53,60.27,101421.77
2026-05-01 01:29:00,22.54,60.20,101424.98
2026-05-01 01:34:00,22.50,60.24,101422.77
2026-05-01 01:39:15,22.53,60.20,101417.33
2026-05-01 01:44:15,22.49,60.20,101406.19
2026-05-01 01:49:30,22.51,60.22,101400.23
2026-05-01 01:54:30,22.48,60.17,101399.05
2026-05-01 01:59:45,22.49,60.19,101388.55
2026-05-01 02:04:45,22.46,60.14,101387.27
2026-05-01 02:10:00,22.44,60.16,101389.70
2026-05-01 02:15:00,22.46,60.12,101384.73
2026-05-01 02:20:15,22.41,60.13,101383.93
2026-05-01 02:25:15,22.45,60.12,101377.89
2026-05-01 02:30:30,22.40,60.11,101376.55
2026-05-01 02:35:30,22.41,60.13,101372.59
2026-05-01 02:40:45,22.39,60.09,101369.00
2026-05-01 02:45:45,22.40,60.14,101369.44
2026-05-01 02:51:00,22.40,60.08,101366.29
2026-05-01 02:56:00,22.37,60.10,101363.57
2026-05-01 03:01:15,22.38,60.07,101359.04
2026-05-01 03:06:15,22.34,60.07,101355.09
2026-05-01 03:11:30,22.36,60.09,101351.95
2026-05-01 03:16:30,22.34,60.04,101351.11
2026-05-01 03:21:45,22.33,60.06,101348.75
2026-05-01 03:26:45,22.31,60.03,101344.45
2026-05-01 03:32:00,22.28,60.06,101346.94
2026-05-01 03:37:00,22.30,60.03,101345.14
2026-05-01 03:42:15,22.25,60.01,101339.44
2026-05-01 03:47:15,22.29,60.04,101339.25
2026-05-01 03:52:30,22.25,60.00,101335.69
2026-05-01 03:57:30,22.26,60.02,101330.05
2026-05-01 04:02:45,22.25,59.97,101328.91
2026-05-01 04:07:45,22.22,60.02,101324.11
2026-05-01 04:13:00,22.24,59.98,101319.72
2026-05-01 04:18:00,22.19,59.99,101314.70
2026-05-01 04:23:15,22.22,60.01,101312.08
2026-05-01 04:28:15,22.20,59.97,101306.76
2026-05-01 04:33:30,22.21,59.99,101305.25
2026-05-01 04:38:30,22.21,59.93,101305.73
2026-05-01 04:43:45,22.18,59.95,101300.74
2026-05-01 04:48:45,22.19,59.92,101302.70
2026-05-01 04:54:00,22.16,59.93,101303.90
2026-05-01 04:59:00,22.19,59.92,101299.60
2026-05-01 05:04:15,22.15,59.90,101297.23
2026-05-01 05:09:15,22.16,59.92,101287.89
2026-05-01 05:14:30,22.14,59.87,101285.07
2026-05-01 05:19:30,22.11,59.91,101287.76
2026-05-01 05:24:45,22.14,59.86,101288.80
2026-05-01 05:29:45,22.09,59.88,101288.60
2026-05-01 05:35:00,22.12,59.88,101287.16
2026-05-01 05:40:00,22.08,59.85,101284.84
2026-05-01 05:45:15,22.10,59.87,101287.86
2026-05-01 05:50:15,22.06,59.82,101288.73
2026-05-01 05:55:30,22.06,59.87,101286.78
2026-05-01 06:00:30,22.05,59.81,101286.31
2026-05-01 06:05:45,22.02,59.83,101287.69
2026-05-01 06:10:45,22.04,59.81,101287.62
2026-05-01 06:16:00,22.01,59.81,101285.61
2026-05-01 06:21:00,22.06,59.85,101282.88
2026-05-01 06:26:15,22.05,59.83,101281.08
2026-05-01 06:31:15,22.05,59.87,101281.57
2026-05-01 06:36:30,22.06,59.84,101281.28
2026-05-01 06:41:30,22.03,59.85,101278.96
2026-05-01 06:46:46,22.18,59.94,101279.02
2026-05-01 06:51:46,22.32,59.78,101274.31
2026-05-01 06:57:01,22.21,59.65,101270.69
2026-05-01 07:02:01,22.08,59.67,101270.30
2026-05-01 07:07:16,21.96,59.67,101271.91
2026-05-01 07:12:16,21.85,59.74,101268.32
2026-05-01 07:17:33,21.89,59.90,101266.34
2026-05-01 07:22:33,22.02,59.89,101264.77
2026-05-01 07:27:48,22.06,59.96,101269.68
2026-05-01 07:32:48,22.12,60.01,101266.57
2026-05-01 07:38:03,22.14,60.05,101259.88
2026-05-01 07:43:03,22.13,60.09,101260.76
2026-05-01 07:48:19,22.12,60.06,101257.05
2026-05-01 07:53:19,22.09,60.08,101252.94
2026-05-01 07:58:34,22.06,60.07,101248.35
2026-05-01 08:03:34,22.02,59.99,101249.73
2026-05-01 08:08:49,21.99,59.99,101243.12
2026-05-01 08:13:49,21.94,59.92,101245.02
2026-05-01 08:19:04,21.89,59.92,101242.68
2026-05-01 08:24:04,21.89,59.88,101240.38
2026-05-01 08:29:19,21.83,59.86,101241.45
2026-05-01 08:34:19,21.80,59.93,101239.98
2026-05-01 08:39:34,21.79,59.92,101237.66
2026-05-01 08:44:34,21.73,59.92,101236.07
2026-05-01 08:49:49,21.72,59.94,101238.05
2026-05-01 08:54:49,21.66,59.95,101240.09
2026-05-01 09:00:04,21.62,60.01,101237.99
2026-05-01 09:05:04,21.61,59.98,101235.20
2026-05-01 09:10:19,21.57,59.99,101236.95
2026-05-01 09:15:19,21.57,59.97,101236.21
2026-05-01 09:20:34,21.52,59.97,101235.85
2026-05-01 09:25:34,21.52,59.99,101231.04
2026-05-01 09:30:49,21.48,59.97,101228.26
2026-05-01 09:35:49,21.47,60.00,101229.32
2026-05-01 09:41:04,21.45,59.97,101231.07
2026-05-01 09:46:04,21.41,60.00,101240.55
2026-05-01 09:51:20,21.41,59.95,101243.58
2026-05-01 09:56:20,21.38,59.96,101241.70
2026-05-01 10:01:35,21.38,59.95,101248.33
2026-05-01 10:06:35,21.36,59.91,101253.95
2026-05-01 10:11:50,21.33,59.94,101255.84
