Time,Temperature,Humidity,Pressure
2025-07-21 17:56:48,26.54,54.45,99535.55
2025-07-21 17:57:48,26.54,54.20,99537.49
2025-07-21 17:58:48,26.55,53.79,99540.73
2025-07-21 17:59:48,26.55,53.60,99540.25
2025-07-21 18:00:48,26.54,53.45,99537.18
2025-07-21 18:02:06,26.54,53.26,99544.31
2025-07-21 18:03:06,26.53,53.18,99538.22
2025-07-21 18:04:06,26.54,53.13,99539.05
2025-07-21 18:05:06,26.53,52.97,99543.17
2025-07-21 18:06:06,26.53,52.90,99538.04
2025-07-21 18:07:06,26.52,52.82,99540.98
2025-07-21 18:08:06,26.51,52.70,99538.15
2025-07-21 18:09:06,26.51,52.63,99536.96
2025-07-21 18:10:06,26.50,52.49,99542.64
2025-07-21 18:11:22,26.48,52.43,99537.90
2025-07-21 18:12:22,26.48,52.36,99538.00
2025-07-21 18:13:22,26.48,52.30,99539.45
2025-07-21 18:14:22,26.47,52.32,99543.95
2025-07-21 18:15:22,26.46,52.26,99545.67
2025-07-21 18:16:22,26.45,52.14,99542.64
2025-07-21 18:17:22,26.44,52.12,99544.52
2025-07-21 18:18:22,26.44,52.04,99543.59
2025-07-21 18:19:22,26.43,52.01,99541.30
2025-07-21 18:20:22,26.40,52.00,99544.59
2025-07-21 18:21:39,26.41,51.87,99543.03
2025-07-21 18:22:39,26.40,51.84,99541.39
2025-07-21 18:23:39,26.39,51.81,99547.08
2025-07-21 18:24:39,26.38,51.85,99543.70
2025-07-21 18:25:39,26.38,51.85,99541.59
2025-07-21 18:26:39,26.37,51.85,99546.67
2025-07-21 18:27:39,26.37,51.92,99546.61
2025-07-21 18:28:39,26.37,51.89,99552.55
2025-07-21 18:29:39,26.37,51.81,99550.44
2025-07-21 18:31:00,26.38,51.81,99551.20
2025-07-21 18:32:00,26.37,51.94,99548.55
2025-07-21 18:33:00,26.39,52.15,99547.86
2025-07-21 18:34:00,26.40,52.17,99550.48
2025-07-21 18:35:00,26.40,51.92,99551.51
2025-07-21 18:36:00,26.41,51.78,99548.20
2025-07-21 18:37:00,26.40,51.71,99552.23
2025-07-21 18:38:00,26.41,51.67,99556.89
2025-07-21 18:39:00,26.40,51.58,99556.95
2025-07-21 18:40:16,26.40,51.49,99558.03
2025-07-21 18:41:16,26.40,51.39,99558.14
2025-07-21 18:42:16,26.39,51.35,99555.84
2025-07-21 18:43:16,26.38,51.26,99561.13
2025-07-21 18:44:16,26.38,51.16,99556.81
2025-07-21 18:45:16,26.37,51.14,99561.97
2025-07-21 18:46:16,26.37,51.01,99561.31
2025-07-21 18:47:16,26.37,50.95,99562.84
2025-07-21 18:48:16,26.37,50.86,99564.64
2025-07-21 18:49:16,26.35,50.79,99565.94
2025-07-21 18:50:34,26.34,50.77,99566.13
2025-07-21 18:51:34,26.34,50.76,99567.55
2025-07-21 18:52:34,26.34,50.73,99566.19
2025-07-21 18:53:34,26.33,50.68,99563.67
2025-07-21 18:54:34,26.33,50.66,99568.95
2025-07-21 18:55:34,26.33,50.69,99561.24
2025-07-21 18:56:34,26.32,50.72,99565.89
2025-07-21 18:57:34,26.32,50.70,99563.77
2025-07-21 18:58:34,26.32,50.72,99561.98
2025-07-21 18:59:34,26.33,50.73,99564.26
2025-07-21 19:00:51,26.33,50.84,99582.61
2025-07-21 19:01:51,26.33,50.87,99585.66
2025-07-21 19:02:51,26.33,50.90,99588.81
2025-07-21 19:03:51,26.34,50.96,99592.69
2025-07-21 19:04:51,26.34,50.92,99590.05
2025-07-21 19:05:51,26.34,50.93,99579.52
2025-07-21 19:06:51,26.35,50.96,99586.83
2025-07-21 19:07:51,26.35,50.94,99589.45
2025-07-21 19:09:12,26.36,51.01,99592.22
2025-07-21 19:10:12,26.37,51.01,99594.37
2025-07-21 19:11:12,26.35,51.01,99590.12
2025-07-21 19:12:12,26.36,50.99,99591.91
2025-07-21 19:13:12,26.36,51.00,99595.95
2025-07-21 19:14:12,26.36,51.01,99597.24
2025-07-21 19:15:12,26.35,51.14,99593.70
2025-07-21 19:16:12,26.36,51.18,99595.20
2025-07-21 19:17:12,26.36,51.20,99594.96
2025-07-21 19:18:32,26.34,51.24,99596.54
2025-07-21 19:19:32,26.34,51.22,99595.67
2025-07-21 19:20:32,26.34,51.28,99598.03
2025-07-21 19:21:32,26.34,51.42,99602.20
2025-07-21 19:22:32,26.34,51.47,99599.31
2025-07-21 19:23:32,26.34,51.55,99597.88
2025-07-21 19:24:32,26.34,51.65,99594.39
2025-07-21 19:25:32,26.34,51.62,99596.19
2025-07-21 19:26:32,26.33,51.64,99598.66
2025-07-21 19:27:32,26.33,51.68,99598.69
2025-07-21 19:28:50,26.33,51.73,99597.05
2025-07-21 19:29:50,26.32,51.76,99598.02
2025-07-21 19:30:50,26.32,51.85,99599.89
2025-07-21 19:31:50,26.31,51.85,99600.59
2025-07-21 19:32:50,26.31,51.96,99599.12
2025-07-21 19:33:50,26.31,51.92,99602.01
2025-07-21 19:34:50,26.30,51.96,99597.55
2025-07-21 19:35:50,26.30,52.00,99600.09
2025-07-21 19:37:11,26.29,52.09,99600.45
2025-07-21 19:38:11,26.29,52.11,99601.62
2025-07-21 19:39:11,26.28,52.24,99602.23
2025-07-21 19:40:11,26.27,52.22,99600.89
2025-07-21 19:41:11,26.27,52.28,99602.25
2025-07-21 19:42:11,26.27,52.34,99601.83
2025-07-21 19:43:11,26.26,52.41,99606.45
2025-07-21 19:44:11,26.26,52.47,99601.45
2025-07-21 19:45:11,26.26,52.58,99601.69
2025-07-21 19:46:30,26.26,52.66,99599.30
2025-07-21 19:47:30,26.26,52.78,99603.66
2025-07-21 19:48:30,26.26,52.99,99599.82
2025-07-21 19:49:30,26.26,52.94,99600.50
2025-07-21 19:50:30,26.26,52.90,99596.09
2025-07-21 19:51:30,26.26,52.88,99599.75
2025-07-21 19:52:30,26.26,52.93,99598.14
2025-07-21 19:53:30,26.26,52.98,99602.88
2025-07-21 19:54:30,26.26,53.02,99602.56
2025-07-21 19:55:30,26.26,53.14,99602.30
2025-07-21 19:56:50,26.26,53.19,99601.38
2025-07-21 19:57:50,26.25,53.16,99605.17
2025-07-21 19:58:50,26.25,53.16,99605.97
